,WEIGHTGR,LENGTHCM,WIDTHCM,DEPTHCM,SPECIES
1132,20.0,4.79,3.95,4.79,loggerhead
1107,21.6,4.65,3.75,4.65,loggerhead
1068,20.6,4.69,3.55,4.69,loggerhead
1176,19.2,4.7,3.87,4.7,loggerhead
1105,19.7,4.62,3.69,4.62,loggerhead
1087,21.0,4.72,3.62,4.72,loggerhead
1243,22.8,4.85,3.76,4.85,loggerhead
1098,21.9,4.6,3.69,4.6,loggerhead
1135,19.3,4.74,3.88,4.74,loggerhead
1093,20.8,4.68,3.75,4.68,loggerhead
1121,19.2,4.67,3.62,4.67,loggerhead
1170,20.5,4.69,3.78,4.69,loggerhead
1092,22.2,4.6,3.67,4.6,loggerhead
1207,20.3,4.62,3.65,4.62,loggerhead
1094,19.1,4.7,3.55,4.7,loggerhead
1209,19.9,4.68,3.74,4.68,loggerhead
1143,19.7,4.67,3.64,4.67,loggerhead
1227,22.3,4.71,3.71,4.71,loggerhead
1157,19.3,4.75,3.88,4.75,loggerhead
1162,20.1,4.8,3.79,4.8,loggerhead
1203,21.7,4.72,3.58,4.72,loggerhead
1077,20.7,4.62,3.64,4.62,loggerhead
1256,22.4,4.8,3.8,4.8,loggerhead
1190,21.0,4.63,3.71,4.63,loggerhead
1103,19.5,4.74,3.7,4.74,loggerhead
350,18.0,4.62,3.76,1.78,kemps-ridley
86,16.0,4.2,3.52,1.81,kemps-ridley
26,15.5,4.17,3.37,1.81,kemps-ridley
257,15.5,4.26,3.52,1.71,kemps-ridley
226,18.0,4.33,3.57,1.85,kemps-ridley
7,14.5,4.05,3.44,1.75,kemps-ridley
142,14.0,4.02,3.31,1.88,kemps-ridley
450,15.0,4.4,3.49,1.71,kemps-ridley
421,17.5,4.41,3.61,1.52,kemps-ridley
93,15.0,4.11,3.42,2.07,kemps-ridley
589,18.2,4.35,3.74,1.96,kemps-ridley
588,18.3,4.54,3.83,1.94,kemps-ridley
77,15.0,4.13,3.48,1.88,kemps-ridley
563,16.8,4.45,3.68,1.92,kemps-ridley
443,13.5,4.23,3.46,1.66,kemps-ridley
488,14.5,4.16,3.67,1.56,kemps-ridley
151,15.0,4.04,3.54,1.89,kemps-ridley
542,18.4,4.49,3.79,1.98,kemps-ridley
409,13.0,4.12,3.33,1.62,kemps-ridley
475,14.0,4.1,3.46,1.5,kemps-ridley
477,13.5,4.04,3.46,1.5,kemps-ridley
498,14.0,4.15,3.51,1.64,kemps-ridley
372,16.0,4.33,3.42,1.79,kemps-ridley
383,14.0,4.29,3.46,1.62,kemps-ridley
459,14.5,4.26,3.48,1.67,kemps-ridley
