,WEIGHTGR,LENGTHCM,WIDTHCM,DEPTHCM,SPECIES
1205,18.9,4.57,3.6,4.57,loggerhead
1136,20.3,4.61,3.7,4.61,loggerhead
1114,19.7,4.67,3.69,4.67,loggerhead
1113,18.8,4.59,3.72,4.59,loggerhead
1244,20.8,4.82,3.9,4.82,loggerhead
1219,23.1,4.84,3.85,4.84,loggerhead
1084,21.2,4.78,3.7,4.78,loggerhead
1223,22.9,4.95,3.9,4.95,loggerhead
1145,18.2,4.85,3.77,4.85,loggerhead
1166,19.7,4.83,3.87,4.83,loggerhead
1216,21.5,4.84,3.85,4.84,loggerhead
1181,20.0,4.7,3.85,4.7,loggerhead
1151,19.6,4.6,3.72,4.6,loggerhead
1107,21.6,4.65,3.75,4.65,loggerhead
1125,18.7,4.69,3.77,4.69,loggerhead
1104,21.3,4.58,3.59,4.58,loggerhead
1259,22.5,4.72,3.67,4.72,loggerhead
1232,22.6,4.79,3.79,4.79,loggerhead
1199,20.1,4.66,3.67,4.66,loggerhead
1146,19.3,4.67,3.64,4.67,loggerhead
1214,22.7,4.71,3.79,4.71,loggerhead
1172,19.9,4.77,3.84,4.77,loggerhead
1190,21.0,4.63,3.71,4.63,loggerhead
1257,21.1,4.9,3.8,4.9,loggerhead
1082,21.4,4.5,3.56,4.5,loggerhead
1138,19.4,4.7,3.81,4.7,loggerhead
1183,21.0,4.81,3.72,4.81,loggerhead
1105,19.7,4.62,3.69,4.62,loggerhead
1177,19.6,4.61,3.71,4.61,loggerhead
1221,21.9,4.87,3.85,4.87,loggerhead
1106,20.9,4.59,3.55,4.59,loggerhead
1116,20.6,4.71,3.72,4.71,loggerhead
1238,22.7,4.65,3.74,4.65,loggerhead
1251,23.0,4.95,3.84,4.95,loggerhead
1169,19.1,4.63,3.7,4.63,loggerhead
1179,18.6,4.62,3.65,4.62,loggerhead
1079,20.1,4.73,3.62,4.73,loggerhead
1263,2.2,4.82,3.78,4.82,loggerhead
1161,20.0,4.62,3.65,4.62,loggerhead
1123,20.4,4.55,3.67,4.55,loggerhead
1261,22.2,4.85,3.9,4.85,loggerhead
1072,20.6,4.62,3.55,4.62,loggerhead
1120,18.8,4.58,3.69,4.58,loggerhead
1096,22.1,4.6,3.57,4.6,loggerhead
1085,21.2,4.68,3.72,4.68,loggerhead
1195,19.6,4.6,3.63,4.6,loggerhead
1089,20.7,4.62,3.63,4.62,loggerhead
1066,20.9,4.62,3.7,4.62,loggerhead
1236,23.6,4.78,3.8,4.78,loggerhead
1201,19.3,4.65,3.69,4.65,loggerhead
406,17.5,4.41,3.5,1.71,kemps-ridley
207,14.0,3.99,3.27,1.66,kemps-ridley
512,13.0,4.0,3.45,1.45,kemps-ridley
243,13.5,4.2,3.1,1.63,kemps-ridley
397,15.0,4.21,3.38,1.73,kemps-ridley
307,20.0,4.66,3.56,1.99,kemps-ridley
274,18.0,4.52,3.64,1.83,kemps-ridley
333,18.0,4.47,3.62,1.84,kemps-ridley
315,17.0,4.44,3.53,1.72,kemps-ridley
605,16.7,4.23,3.61,1.86,kemps-ridley
131,15.5,4.26,3.51,1.79,kemps-ridley
353,20.0,5.0,3.75,1.81,kemps-ridley
541,20.4,4.65,3.86,2.14,kemps-ridley
286,19.0,4.69,3.62,1.9,kemps-ridley
259,18.5,4.69,3.62,1.87,kemps-ridley
56,13.5,3.84,3.33,1.79,kemps-ridley
346,17.5,4.69,3.56,1.78,kemps-ridley
589,18.2,4.35,3.74,1.96,kemps-ridley
25,15.0,4.22,3.53,1.81,kemps-ridley
113,16.0,4.11,3.5,1.92,kemps-ridley
327,15.5,4.38,3.63,1.67,kemps-ridley
360,16.0,4.65,3.63,1.76,kemps-ridley
115,15.0,4.24,3.6,1.85,kemps-ridley
494,13.5,4.1,3.52,1.62,kemps-ridley
94,15.0,4.38,3.6,1.85,kemps-ridley
0,15.0,4.11,3.6,1.87,kemps-ridley
297,17.0,4.56,3.35,1.73,kemps-ridley
462,15.5,4.2,3.36,1.84,kemps-ridley
482,16.5,4.26,3.57,1.77,kemps-ridley
106,14.5,4.06,3.41,1.85,kemps-ridley
147,12.5,3.65,3.02,1.84,kemps-ridley
287,18.0,4.5,3.46,1.77,kemps-ridley
195,18.0,4.29,3.54,1.82,kemps-ridley
530,15.5,4.24,3.45,1.68,kemps-ridley
379,15.5,4.34,3.63,1.8,kemps-ridley
359,15.5,4.26,3.61,1.76,kemps-ridley
270,17.5,4.43,3.54,1.78,kemps-ridley
288,20.0,4.65,3.59,1.86,kemps-ridley
169,14.0,3.91,3.25,1.91,kemps-ridley
117,15.5,4.1,3.51,1.81,kemps-ridley
601,16.3,4.24,3.55,1.85,kemps-ridley
183,17.0,4.14,3.63,1.82,kemps-ridley
211,18.5,4.18,3.64,1.84,kemps-ridley
549,17.7,4.55,3.75,1.85,kemps-ridley
352,16.5,4.35,3.47,1.74,kemps-ridley
197,16.5,4.21,3.57,1.75,kemps-ridley
145,15.0,4.14,3.32,1.88,kemps-ridley
320,16.0,4.43,3.68,1.92,kemps-ridley
173,12.0,3.97,3.28,1.71,kemps-ridley
313,18.5,4.67,3.75,1.73,kemps-ridley
